height,width,bitrate,adUnitWidth,adUnitHeight,siteId,eCpm,id
1080,1920,NaN,160,600,37780,1.76,100012b9d5496cd
360,640,610,970,250,37780,1.12,1000177d36f14215
360,640,300,970,250,37780,2.89,100018682713137c
1080,1920,NaN,300,250,37780,1.26,100019a2fe28f903
720,1280,22464,970,250,37780,3.11,1000391e2164fb7e
360,640,300,970,250,37780,1.79,10003b288d1eb574
144,176,57,728,90,37780,1.21,10003ff47371b630a
480,640,400,728,90,37780,3.94,100050ed8295246e09a
720,1280,22619,970,250,37780,2.74,100053c552711816
360,640,300,160,600,37780,2.90,10007fb2579332192
1080,1920,NaN,160,600,37780,2.38,10008883617c6c3d5
360,640,300,160,600,37780,4.33,1000a25116cb74e1
144,176,NaN,160,600,37780,1.52,1000b4c91eccef1a8
144,176,57,970,250,37780,1.45,1000bbfd69f965a3
1080,1920,NaN,970,250,37780,1.72,1000c04532fcef93
360,640,300,160,600,37780,4.94,1000c6c058e1bf9e3
1080,1920,NaN,970,250,37780,4.08,1000c7fc13ef37d1
1080,1920,NaN,970,250,37780,1.26,10011591314929e5
1080,1920,9703,160,600,37780,1.32,10011cb6a2bd4e71
314,420,473,336,280,37780,0.76,10011f75e515ce6565
144,176,57,160,600,37780,2.09,100121e8a6f3bff06
1080,1920,NaN,970,250,37780,0.83,100129a5e3b07bd9
720,1280,450,160,600,37780,6.83,10012e0ad0b530044
9,16,NaN,160,600,37780,4.93,1001508c95839fe1
1080,1920,NaN,160,600,37780,1.99,10015e1ff069c5c54
144,176,53,970,250,37780,1.00,10017356eb033549
360,640,400,160,600,37780,6.00,1001863d5906e0c74a
1080,1920,NaN,970,250,37780,5.98,10019fb4d1039e2d8
1080,1920,NaN,970,250,37780,6.32,1001b56198d52a17
1080,1920,9703,160,600,37780,1.32,1001decfb1bd2c37
1080,1920,NaN,160,600,37780,2.24,1001eae262e588f2
9,16,800,160,600,37780,0.88,1001f63d4b6491ca8
480,640,400,336,280,37780,1.92,100216f9970ca5978f9
1080,1920,NaN,160,600,37780,1.19,100219da9e721834a
360,640,300,160,600,37780,25.23,10021aeddcefa3903
1080,1920,NaN,160,600,37780,1.46,100226cff9939ec427
360,640,300,160,600,37780,2.79,10022b6874cc6729f
360,640,300,160,600,37780,1.31,100236621094606471
360,640,402,970,250,37780,3.50,10023a8db9d0f50f
144,176,53,160,600,37780,0.80,100247446eaca3ea
1080,1920,22663,336,280,37780,11.47,100250f201fbc7f33
144,176,57,160,600,37780,2.10,10025b7cd6d6e33
9,16,NaN,336,280,37780,8.33,100267af63e5b84e2
360,480,1958,160,600,37780,2.03,100274849ffcd03c
144,176,NaN,160,600,37780,4.97,100274f4308266245
1080,1920,NaN,160,600,37780,3.37,10027bb316d3761
360,640,1062,970,250,37780,0.94,10027e6351b60e13
360,640,300,160,600,37780,1.54,10028dc25366ddb9
9,16,NaN,970,250,37780,1.23,10029716971e552a
360,640,598,300,250,37780,2.91,1002aa15ef61a1ea
1080,1920,NaN,970,250,37780,1.27,1002aeaa736eb461
360,640,300,160,600,37780,1.35,1002bf3f497aa667
360,640,300,160,600,37780,5.81,1002d2dc51bf6afb
360,640,400,160,600,37780,1.44,1002d9b80c3389a3b
360,640,446,160,600,37780,1.84,100306f6a2eb2b17
1080,1920,8762,160,600,37780,6.22,10033592f61c77a3
144,176,NaN,160,600,37780,0.85,100368832e572be3
360,640,300,970,250,37780,1.56,1003751fd8f33388
144,176,NaN,160,600,37780,0.76,100382ad62019d79
1080,1920,NaN,160,600,37780,1.21,1003990ce5ef26b31
1080,1920,NaN,970,250,37780,3.00,10039d665bd46342
314,420,473,160,600,37780,0.76,1003b61fedaf3e8
360,640,300,160,600,37780,3.58,1003cba2dacd46922
360,640,300,160,600,37780,2.02,1003e63305cc6936
360,640,300,160,600,37780,1.86,1003f64e21c9fc52a
1080,1920,NaN,970,250,37780,0.78,10040f549dbfd67c
360,640,300,160,600,37780,3.01,1004159bd39e82a25
1080,1920,NaN,160,600,37780,3.34,1004339611bac3441
360,640,300,160,600,37780,2.70,10043a9d2d04df47a
360,640,300,970,250,37780,3.41,100444a15d977b05
1080,1920,3753,160,600,37780,2.38,100447274ec3c268
144,176,55,728,90,37780,6.46,10045c0a357620d2e
1080,1920,NaN,160,600,37780,1.64,10046324145421728d
360,640,700,970,250,37780,13.32,100463c874d01259
360,640,400,160,600,37780,3.45,10047e704478c7554
1080,1920,22663,160,600,37780,3.13,1004978bb4e8bd91
9,16,NaN,970,250,37780,7.43,1004ac18314d265
144,256,272,160,600,37780,0.88,100015c093b37a29
144,256,272,160,600,37780,0.88,1001388b0f34588de
144,256,272,160,600,37780,0.88,1003eeea735d525
360,480,NaN,160,600,37780,0.80,100011b6cfd0746d
360,480,NaN,160,600,37780,0.90,1000630c6538faf2
144,176,NaN,160,600,37780,7.70,100077aaec9743b7
144,176,NaN,336,280,37780,0.88,10009b9f169015f5eb
144,176,NaN,970,250,37780,7.96,1000bffa028042ec
144,176,NaN,970,250,37780,2.63,1000f8bc2dfe8a91
360,480,NaN,160,600,37780,1.17,10020678c50576c38
360,480,NaN,970,250,37780,0.76,1002135f4782cecd
360,480,NaN,728,90,37780,0.95,1002198c077cb0a
144,176,NaN,970,250,37780,10.88,10023ea6e055ed0c
360,480,NaN,160,600,37780,0.97,1002da8ba8dfbc88
360,480,NaN,160,600,37780,0.89,100359a8f2db1be0c
144,176,NaN,336,280,37780,7.79,100361d0f4d46762d
144,176,NaN,300,250,37780,8.22,1003f8ce79f03572
